ID;Nome;Cognome;Team;PG%;SG%;SF%;PF%;C%
1495;Tim;Duncan*;SAS;0;0;0;1;99
1938;Manu;Ginobili*;SAS;1;86;13;0;0
2210;Richard;Jefferson;CLE;0;19;68;13;0
2225;Tony;Parker;SAS;92;8;0;0;0
2446;Rasual;Butler;SAS;0;26;69;5;0
2544;LeBron;James;CLE;0;0;77;23;0
2555;Nick;Collison;OKC;0;0;0;86;15
2561;David;West;SAS;0;0;1;50;49
2564;Boris;Diaw;SAS;0;0;0;96;4
2571;Leandro;Barbosa;GSW;1;85;14;0;0
2588;Matt;Bonner;SAS;0;0;0;48;52
2590;Mo;Williams;CLE;100;0;0;0;0
2592;James;Jones;CLE;0;1;43;56;0
2733;Shaun;Livingston;GSW;64;36;0;0;0
2738;Andre;Iguodala;GSW;0;1;85;15;0
2747;J.R.;Smith;CLE;1;77;22;0;0
2760;Anderson;Varejao;CLE;0;0;0;12;88
101106;Andrew;Bogut;GSW;0;0;0;0;100
101135;David;Lee;BOS;0;0;19;69;12
101161;Amir;Johnson;BOS;0;0;2;89;9
200746;LaMarcus;Aldridge;SAS;0;0;0;54;46
200779;Steve;Novak;OKC;0;0;12;88;0
201142;Kevin;Durant;OKC;0;0;74;26;0
201566;Russell;Westbrook;OKC;94;7;0;0;0
201567;Kevin;Love;CLE;0;0;0;92;8
201571;D.J.;Augustin;OKC;100;0;0;0;0
201574;Jason;Thompson;GSW;0;0;0;19;81
201575;Brandon;Rush;GSW;0;9;85;6;0
201578;Marreese;Speights;GSW;0;0;0;17;84
201586;Serge;Ibaka;OKC;0;0;0;92;9
201619;Sasha;Kaun;CLE;0;0;0;35;65
201627;Anthony;Morrow;OKC;0;42;57;0;0
201939;Stephen;Curry;GSW;100;0;0;0;0
201973;Jonas;Jerebko;BOS;0;0;6;78;16
201980;Danny;Green;SAS;0;82;18;0;0
201988;Patty;Mills;SAS;100;0;0;0;0
202323;Evan;Turner;BOS;0;30;67;3;0
202340;Avery;Bradley;BOS;10;76;14;0;0
202389;Timofey;Mozgov;CLE;0;0;0;0;100
202681;Kyrie;Irving;CLE;99;2;0;0;0
202683;Enes;Kanter;OKC;0;0;0;7;93
202684;Tristan;Thompson;CLE;0;0;0;22;78
202691;Klay;Thompson;GSW;1;79;20;0;0
202695;Kawhi;Leonard;SAS;0;5;90;6;0
202697;Iman;Shumpert;CLE;2;78;20;0;0
202713;Kyle;Singler;OKC;0;8;78;14;0
202738;Isaiah;Thomas;BOS;100;0;0;0;0
203079;Dion;Waiters;OKC;8;88;4;0;0
203084;Harrison;Barnes;GSW;0;0;44;55;1
203092;Tyler;Zeller;BOS;0;0;0;0;100
203096;Jared;Sullinger;BOS;0;0;0;14;86
203099;Jared;Cunningham;CLE;33;63;4;0;0
203105;Festus;Ezeli;GSW;0;0;0;0;100
203109;Jae;Crowder;BOS;0;1;77;22;0
203110;Draymond;Green;GSW;0;0;0;80;20
203460;Andre;Roberson;OKC;0;66;32;2;0
203482;Kelly;Olynyk;BOS;0;0;0;14;86
203492;Ray;McCallum;SAS;86;14;0;0;0
203500;Steven;Adams;OKC;0;0;0;0;100
203521;Matthew;Dellavedova;CLE;71;29;0;0;0
203546;Ian;Clark;GSW;48;52;1;0;0
203613;Jonathon;Simmons;SAS;8;90;2;0;0
203923;James;Young;BOS;15;57;29;0;0
203925;Joe;Harris;CLE;0;69;31;0;0
203935;Marcus;Smart;BOS;42;57;1;0;0
203937;Kyle;Anderson;SAS;0;1;65;34;0
203949;James Michael;McAdoo;GSW;0;0;8;45;47
203956;Mitch;McGary;OKC;0;0;0;70;30
1626154;R.J.;Hunter;BOS;21;69;10;1;0
1626166;Cameron;Payne;OKC;95;5;0;0;0
1626175;Jordan;Mickey;BOS;0;0;16;80;5
1626179;Terry;Rozier;BOS;85;15;0;0;0
1626246;Boban;Marjanovic;SAS;0;0;0;0;100
